sentences; annotated meaning;trigger;syntactic pattern; concept studied; focused relations
poucos alunos lhe telefonaram;  (MASCULINE ?ACTOR) (MULTIPLE ?ACTOR) (STUDENT ?ACTOR) (TOPIC ?X ?ACTOR) (FEW ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (CALLER ?X ?ACTOR) (CALLED ?X ?W) (CALL ?X) (PHYSICAL-OBJECT ?W) (HIM ?W);downward quantifier;S-IO-V; quantified subject; ?ACTOR ?W  
alguns alunos telefonaram lhe; (MASCULINE ?ACTOR) (MULTIPLE ?ACTOR) (STUDENT ?ACTOR) (TOPIC ?X ?ACTOR) (SOME ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (CALLER ?X ?ACTOR) (CALLED ?X ?W) (CALL ?X) (PHYSICAL-OBJECT ?W) (HIM ?W);enclisis;S-V-IO; quantified subject; ?ACTOR ?W
alguns alunos lhe telefonaram; (MASCULINE ?ACTOR) (MULTIPLE ?ACTOR) (STUDENT ?ACTOR) (TOPIC ?X ?ACTOR) (SOME ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (CALLER ?X ?ACTOR) (CALLED ?X ?Z) (CALL ?X) (PHYSICAL-OBJECT ?Z) (HIM ?Z);exception;S-IO-V; exception (quantified subject); ?ACTOR ?Z 
quantos presentes te ofereceram; (MULTIPLE ?O) (GIFT ?O) (TOPIC ?X ?O) (HOW-MANY ?O) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (OFFERANCE ?X ?O) (OFFERER ?X ?ACTOR) (OFFEREE ?X ?W) (OFFER ?X) (PERSON ?W) (YOU ?W);wh question;DO-IO-V; wh question; ?O ?W
alguns rapazes me ajudaram; (MULTIPLE ?ACTOR) (BOYS ?ACTOR) (TOPIC ?X ?ACTOR) (SOME ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (HELPED ?X ?Z) (HELPER ?X ?ACTOR) (HELP ?X) (PERSON ?Z) (ME ?Z);exception;S-DO-V; exception (quantified subject); ?ACTOR ?Z 
poe os em a rua;  (IN ?Z ?O) (STREET ?O) (SINGLE ?O) (UNIQUE ?O) (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (PUTTER ?X ?ACTOR) (PUTTED ?X ?Z) (PUT ?X) (PHYSICAL-OBJECT ?Z) (THEY-MASCULINE ?Z);enclisis;V-DO-PP; preposition usage; ?Z  
a maria nao o viu;  (NEGATION ?X) (UNIQUE ?ACTOR) (MARIA ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (SEER ?X ?ACTOR) (SEEN ?X ?Z) (SEE ?X) (PHYSICAL-OBJECT ?Z) (HIM ?Z);negation;S-not-DO-V; negation; ?X ?Z 
de ti se sabe pouco;  (ITSELF ?Z) (LITTLE ?X) (POSSESSOR ?Z) (YOU ?Z) (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (KNOWER ?X ?ACTOR) (KNOWLEDGE ?X ?Z) (KNOW ?X);fronted focus;PP-Refl-V-DO; preposition usage; ?Z  
de ele se sabe pouco; (ITSELF ?Z) (LITTLE ?X) (OF ?X ?Z) (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (KNOWER ?X ?ACTOR) (KNOWLEDGE ?X ?Z) (KNOW ?X) (PHYSICAL-OBJECT ?Z) (HIM ?Z);fronted focus;PP-Refl-V-DO; preposition usage; ?Z  
o joao raramente me ve; (JOAO ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR) (RARELY ?X) (UNIQUE ?ACTOR) (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (SEER ?X ?ACTOR) (SEEN ?X ?Z) (SEE ?X) (PERSON ?Z) (ME ?Z);operator adverb;S-adv-DO-V; adverb usage; ?ACTOR ?Z 
o joao ve me raramente; (JOAO ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR) (RARELY ?X) (UNIQUE ?ACTOR) (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (SEER ?X ?ACTOR) (SEEN ?X ?Z) (SEE ?X) (PERSON ?Z) (ME ?Z);enclisis;S-V-DO-adv; adverb usage; ?ACTOR ?Z
eu penso nao o convidar; (NEGATION ?X) (PHYSICAL-OBJECT ?I) (HIM ?I) (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-ME ?EVENT ?ACTOR) (THINKING ?X ?Z) (THINKER ?X ?ACTOR) (THINKEE ?X ?W) (THINK ?X) (INVITE ?V) (INVITER ?V ?ACTOR) (INVITATION ?V ?I) (ME ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR) (PREDICATE-FOCUS ?X ?I);negation;S-V-not-DO-INF; complex verbs; ?I
nao sei como disser lhe;  (PHYSICAL-OBJECT ?I) (HIM ?I) (AS ?V) (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-ME ?EVENT ?ACTOR) (KNOWER ?X ?ACTOR) (KNOWLEDGE ?X ?V) (KNOW ?X) (SAY ?V) (SAYER ?V ?ACTOR) (SAYEE ?V ?I) (SAYING ?V ?L) (NEGATION ?X);enclisis;not-V-Rel-INF-IO; complex verbs; ?I  
onde a encontrou o pedro;  (PHYSICAL-OBJECT ?Z) (HER ?Z) (UNIQUE ?ACTOR) (UNDEFINED-PLACE ?P) (TOPIC ?X ?P) (PERSON ?ACTOR) (PEDRO ?ACTOR) (FIND ?X) (FINDING ?X ?Z) (FINDER ?X ?ACTOR) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?ACTOR)  ;wh question;Rel-DO-V-S; wh question; ?Z ?ACTOR ?P
o pedro encontrou a onde;  (UNDEFINED-PLACE ?P) (UNIQUE ?ACTOR) (PEDRO ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR) (FIND ?X) (FINDING ?X ?Z) (FINDER ?X ?ACTOR) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?P) (PHYSICAL-OBJECT ?Z) (HER ?Z);enclisis;S-V-DO-Rel; wh question; ?Z ?P ?ACTOR  
e possivel nao a convidar; (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (PERSON-BEING ?X ?V) (BE-PERMANENT ?X) (INVITE ?V) (INVITER ?V ?ACTOR) (INVITATION ?V ?I) (PHYSICAL-OBJECT ?I) (HER ?I) (POSSIBLE ?X) (NEGATION ?V);negation;V-Compl-not-DO-V; possibility; ?I
as criancas tambem o viram;  (FEMININE ?ACTOR) (MULTIPLE ?ACTOR) (CHILDREN ?ACTOR) (TOPIC ?X ?ACTOR) (ALSO ?X) (UNIQUE ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (SEER ?X ?ACTOR) (SEEN ?X ?Z) (SEE ?X) (PHYSICAL-OBJECT ?Z) (HIM ?Z);operator adverb;S-adv-DO-V; adverb usage; ?ACTOR ?Z  
eu penso terem a convidado;  (PHYSICAL-OBJECT ?I) (HER ?I) (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-ME ?EVENT ?ACTOR) (THINKING ?X ?V) (THINKER ?X ?ACTOR) (THINKEE ?X ?W) (THINK ?X) (INVITE ?V) (INVITER ?V ?ACTOR) (INVITATION ?V ?I) (ME ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR) (PREDICATE-FOCUS ?X ?I) (BEFORE ?EVENT1 ?ORIGO1) (DEICTIC-TIME-POINT ?ORIGO1);complex verbs;S-V-InflectedINF-DO-PPL; complex verbs; ?I
e possivel eles convidarem a; (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (PERSON-BEING ?X ?V) (BE-PERMANENT ?X) (INVITE ?V) (INVITER ?V ?ACTOR) (INVITATION ?V ?I) (PHYSICAL-OBJECT ?I) (HER ?I) (POSSIBLE ?X) (NEGATION ?V) (PHYSICAL-OBJECT ?ACTOR) (THEY-MASCULINE ?ACTOR);enclisis;V-Compl-S-InflectedINF-DO; possibility; ?I  
e possivel eles a convidarem;  (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (PERSON-BEING ?X ?V) (BE-PERMANENT ?X) (INVITE ?V) (INVITER ?V ?ACTOR) (INVITATION ?V ?I) (PHYSICAL-OBJECT ?I) (HER ?I) (POSSIBLE ?X) (NEGATION ?V) (PHYSICAL-OBJECT ?ACTOR) (THEY-MASCULINE ?ACTOR);relative clause;V-Compl-S-DO-InflectedINF; possibility; ?I
todos os rapazes me ajudaram;  (MULTIPLE ?ACTOR) (BOYS ?ACTOR) (TOPIC ?X ?ACTOR) (ALL ?ACTOR) (UNIQUE ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (HELPER ?X ?ACTOR) (HELPED ?X ?Z) (HELP ?X) (PERSON ?Z) (ME ?Z);downward quantifier;S-DO-V; quantified subject; ?ACTOR ?Z  
sempre me perguntaram por ti; (FOR ?X ?Z) (PERSON ?Z) (YOU ?Z) (ALWAYS ?X) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (ASKED ?X ?Z) (ASKER ?X ?ACTOR) (ASKEE ?X ?W) (ASK ?X) (PERSON ?W) (ME ?W);operator adverb;Adv-IO-V-DO; preposition usage; ?W
os alunos telefonaram lhe todos;  (MASCULINE ?ACTOR) (MULTIPLE ?ACTOR) (STUDENT ?ACTOR) (TOPIC ?X ?ACTOR) (UNIQUE ?ACTOR) (ALL ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (CALLER ?X ?ACTOR) (CALLED ?X ?Z) (CALL ?X) (PHYSICAL-OBJECT ?Z) (HIM ?Z);enclisis;S-V-IO-Quant; exception (quantified subject); ?ACTOR ?Z
este livro te dou eu;  (PERSON ?W) (YOU ?W) (REFERENT-NEARBY ?O) (SINGLE ?O) (BOOK ?O) (TOPIC ?X ?O) (PERSON ?ACTOR) (ME ?ACTOR) (GIVE ?X) (GIVEE ?X ?W) (GIVER ?X ?ACTOR) (GIFT ?X ?O) (ACT-DONE-BY-ME ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (OVERLAPS ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?ACTOR);fronted focus;DO-IO-V-S; fronted focus; ?W ?O ?ACTOR
de este livro me lembro eu;  (REFERENT-NEARBY ?O) (BOOK ?O) (SINGLE ?O) (PERSON ?ACTOR) (ME ?ACTOR) (OF ?X ?O) (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-ME ?EVENT ?ACTOR) (REMEMBRANCE ?X ?O) (REMEMBERER ?X ?ACTOR) (REMEMBREE ?X ?W) (REMEMBER ?X) (PERSON ?W) (ME ?W);fronted focus;PP-Refl-V-S; preposition usage; ?W ?ACTOR  
o paulo deu me um livro;  (PERSON ?W) (ME ?W) (UNIQUE ?P) (NOT-UNIQUE ?B) (PAULO ?P) (PERSON ?P) (TOPIC ?X ?P) (BOOK ?B) (SINGLE ?B) (GIVE ?X) (GIVEE ?X ?W) (GIVER ?X ?P) (GIFT ?X ?B) (ACT-DONE-BY-HIM/HER ?EVENT ?P) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?B);enclisis;S-V-IO-DO; cliticization; ?W ?P  
ele pensa dar me um livro; (NOT-UNIQUE ?B) (PHYSICAL-OBJECT ?ACTOR) (HIM ?ACTOR) (PERSON ?W) (ME ?W) (BOOK ?B) (SINGLE ?B) (THINK ?X) (THINKEE ?X ?Z) (THINKER ?X ?ACTOR) (THINKING ?X ?V) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (OVERLAPS ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?B) (GIVE ?V) (GIVEE ?V ?W) (GIVER ?V ?ACTOR) (GIFT ?X ?B);enclisis;S-V-INF-IO-DO; complex verbs; ?W
eu sei que ele o encontrara;  (PHYSICAL-OBJECT ?Z) (HIM ?Z) (THAT ?R ?X) (SUBORDINATION ?R ?V) (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-ME ?EVENT ?ACTOR) (KNOWER ?X ?ACTOR) (KNOWLEDGE ?X ?V) (KNOW ?X) (ME ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR) (AFTER ?EVENT1 ?ORIGO1) (DEICTIC-TIME-POINT ?ORIGO1) (ACT-DONE-BY-HIM/HER ?EVENT1 ?ACTOR1) (FINDER ?V ?ACTOR1) (FINDING ?V ?Z) (FIND ?V) (PHYSICAL-OBJECT ?ACTOR1) (HIM ?ACTOR1);relative clause;S-V-Compl-S-DO-V; complex verbs; ?Z  
de este livro me lembro bem;  (WELL ?X) (OF ?X ?B) (BOOK ?B) (SINGLE ?B) (REFERENT-NEARBY ?B) (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-ME ?EVENT ?ACTOR) (REMEMBRANCE ?X ?B) (REMEMBERER ?X ?ACTOR) (REMEMBREE ?X ?W) (REMEMBER ?X) (PERSON ?W) (ME ?W);fronted focus;PP-Refl-V-Adv; preposition usage; ?W
eles vieram ca para me visitar; (THEY-MASCULINE ?ACTOR) (PHYSICAL-OBJECT ?ACTOR) (TOPIC ?X ?ACTOR) (PERSON ?M) (ME ?M) (TO ?V) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (COMER ?X ?ACTOR) (COME ?X) (HERE ?X) (VISIT ?V) (visiter ?V ?ACTOR) (visited ?V ?M);relative clause;S-V-Adv-PP; complex verbs; ?M 
eles vieram ca para me visitarem; (THEY-MASCULINE ?ACTOR) (PHYSICAL-OBJECT ?ACTOR) (TOPIC ?X ?ACTOR) (PERSON ?M) (ME ?M) (TO ?V) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (COMER ?X ?ACTOR) (COME ?X) (HERE ?X) (VISIT ?V) (visiter ?V ?ACTOR) (visited ?V ?M);relative clause;S-V-Adv-PP; complex verbs; ?M 
